Date Time,Hole Depth,Bit Position,Block Height,Diff Press,Flow Out Percent,Hook Load,ROP - Average,Pump SPM 1,Strks - Pump 1,Pump SPM 2,Strks - Pump 2,Top Drive RPM,Top Drive Torque,Pump Pressure,Mud Volume,Flow In Rate,Bit Weight
04/25/2018 10:00:13,2382,2382,91.6,302.65,35.8,145.4,207.46,94.72,-999.25,95.44,-999.25,90.28,11163,3131.665,83.17,756.47,33.3
04/25/2018 10:00:14,2382,2382,91.5,223.06,33.69,144.3,211.16,94.96,-999.25,95.44,-999.25,90.36,10961,3052.22,83.52,757.42,33.3
04/25/2018 10:00:15,2382,2382,91.5,135.26,35.68,149.5,212.95,94.72,-999.25,94.96,-999.25,90.17,11212,2964.555,83.61,754.57,28.7
04/25/2018 10:00:16,2382,2382,91.5,50.28,33.83,148.7,212.93,94.72,-999.25,95.44,-999.25,90.4,10552,2879.73,83.87,756.47,26.4
04/25/2018 10:00:17,2382,2382,91.5,-31.98,34.75,147.3,210.1,94.72,-999.25,94.96,-999.25,90.21,11186,2797.615,84.22,754.57,30.4
04/25/2018 10:00:18,2382.1,2382.1,91.5,-90.29,32.11,147.5,204.44,95.2,-999.25,95.44,-999.25,90.36,10968,2739.44,84.48,758.36,30.4
04/25/2018 10:00:19,2382.1,2382.1,91.4,-148.47,32.58,151.6,197.66,95.2,-999.25,94.72,-999.25,90.15,11894,2681.415,84.66,755.52,25.9
04/25/2018 10:00:20,2382.1,2382.1,91.4,-215.92,31.66,151,189.24,95.2,-999.25,94.72,-999.25,90.37,9941,2614.1,84.75,755.52,23.6
04/25/2018 10:00:21,2382.1,2382.1,91.4,-268.61,31.94,147.7,179.03,95.44,-999.25,94.49,-999.25,90.18,12659,2561.565,84.84,755.52,27.8
04/25/2018 10:00:22,2382.2,2382.2,91.4,-301.61,31.48,153.2,169.08,95.2,-999.25,94.96,-999.25,90.45,12381,2528.71,85.45,756.47,28.2
